Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2013,01,1071 100,06031100,--Roses,Norway,"3,290,690",,"98,388.00","86,581.60","6,031,996.86","320,849.19",0.00,0.00
2013,01,1000 505,42032900,"PROTECTIVE GLOVES, MITTENS AND MITTS FOR TRADES, NES, OF LEATHER",United States,,2UN,"20,355.00","19,608.00","5,961,985.06","317,125.18",0.00,0.00
2013,01,1000 100,01061910,---Camels,Egypt,400,UN,"310,000.00","310,000.00","5,879,424.00","312,733.66",0.00,0.00
2013,01,1000 100,07132000,"Dried chickpeas, shelled",Sudan,,,"455,369.00","454,400.00","5,781,643.22","307,532.58",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Egypt,,,"470,825.00","470,000.00","5,753,333.62","306,026.76",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Israel,,,"92,228.00","91,200.00","5,693,235.92","302,830.09",0.00,0.00
2013,01,1000 100,06031900,--Other cut flowers,Netherlands,,,"73,293.40","64,933.47","5,437,782.36","289,242.20",0.00,0.00
2013,01,1000 100,04090000,Natural honey,Norway,,,"73,917.50","71,997.50","5,295,416.12","281,669.57",0.00,0.00
2013,01,1000 100,01061910,---Camels,Sudan,526,UN,"168,320.00","168,320.00","5,222,929.13","277,813.90",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Greece,,,"96,000.00","96,000.00","5,180,244.50","275,543.45",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,India,,,"190,329.90","189,950.00","5,095,384.43","271,029.65",0.00,0.00
2013,01,1000 100,07129090,---Other vegetables,United Kingdom,,,"9,190.00","7,812.05","5,029,470.70","267,523.61",0.00,0.00
2013,01,1071 100,44072900,OTHER TROPICAL WOOD SPEC'D IN SUBHDG.NOTE 1 TO CH44 SAWN LENGTHWSE>6MM NES,Sudan,"6,006",M3,"2,102,100.00","2,102,100.00","4,992,911.00","265,578.96",0.00,0.00
2013,01,1000 100,61178000,"Other clothing accessories, knitted or crocheted, nes",Sudan,,UN,"8,788.00","8,788.00","4,849,244.63","257,937.17",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Spain,,,"377,884.40","377,000.00","4,720,139.84","251,069.93",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,United States,,,"114,978.00","114,000.00","4,610,690.48","245,248.19",0.00,0.00
2013,01,1000 100,71031000,"Precious (excl. diamonds) or semi-precious stones, unworked",India,,,"1,183.00","1,095.44","4,579,758.51","243,602.88",0.00,0.00
2013,01,1000 100,52052200,"Combed single cotton yarn, with >=85% cotton, nprs, >14mn but <=43mn",Turkey,,,"81,577.00","79,924.60","4,488,400.86","238,743.46",0.00,0.00
2013,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Canada,"3,001,800",UN,"13,103.00","8,966.00","4,478,916.39","238,238.97",0.00,0.00
2013,01,1071 100,01029010,---OX,Yemen,461,UN,"163,440.00","163,440.00","4,467,224.32","237,617.05",0.00,0.00
2013,01,1000 100,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,China,,,"12,723.00","12,624.00","4,435,733.76","235,942.03",0.00,0.00
2013,01,1000 100,07011000,Seed potatoes,Djibouti,,,"1,114,980.00","1,083,475.00","4,422,324.08","235,228.75",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Bulgaria,,,"345,690.00","345,000.00","4,417,494.70","234,971.87",0.00,0.00
2013,01,1000 100,61051000,"MEN'S OR BOYS' SHIRTS OF COTTON, KNITTED OR CROCHETED",Germany,"45,568",UN,"14,839.00","12,553.50","4,349,477.80","231,353.97",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Portugal,,,"288,576.00","288,000.00","4,305,338.52","229,006.15",0.00,0.00
2013,01,1071 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Pakistan,,,"384,768.00","384,000.00","4,276,568.06","227,475.81",0.00,0.00
2013,01,1000 100,71031000,"Precious (excl. diamonds) or semi-precious stones, unworked",United States,,,228.78,211.35,"4,261,545.10","226,676.73",0.00,0.00
2013,01,1000 101,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"54,675.00","54,000.00","4,228,780.12","224,933.92",0.00,0.00
2013,01,1071 100,07135000,"Dried broad beans and horse beans, shelled",Egypt,,,"356,782.60","356,300.00","4,183,312.58","222,515.44",0.00,0.00
2013,01,1000 100,02042100,Fresh or chilled sheep carcasses and half carcasses (excl. lamb),United Arab Emirates,,,"45,850.00","45,850.00","4,175,392.15","222,094.15",0.00,0.00
